COURSE CODE,CLASS SECTION,Date,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE
BBMS1001,2A,2022-01-18,2022-01-25,,TUE,,,,,,MWT7,9:30,11:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-01-21,2022-01-28,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-02-08,2022-02-08,,TUE,,,,,,FMLMDL1,9:30,11:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-02-08,2022-03-01,,TUE,,,,,,MWT7,9:30,11:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-02-11,2022-03-04,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-02-25,2022-02-25,,,,,FRI,,,FMLMDL1,14:30,16:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-03-15,2022-03-29,,TUE,,,,,,MWT7,9:30,11:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-03-18,2022-04-08,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-04-12,2022-04-26,,TUE,,,,,,MWT7,9:30,11:20,Introduction to Human Anatomy and Physiology
BBMS1001,2A,2022-04-22,2022-04-29,,,,,FRI,,,CYPP3,14:30,17:20,Introduction to Human Anatomy and Physiology
BBMS2001,2A,2022-01-17,2022-02-28,MON,,,,,,,FMLG-20,9:30,12:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-01-18,2022-01-25,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-02-08,2022-03-01,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-03-14,2022-04-11,MON,,,,,,,FMLG-20,9:30,12:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-03-15,2022-03-29,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-04-12,2022-04-26,,TUE,,,,,,FMLG-20,13:30,16:20,Basic Biomedical Laboratory Techniques
BBMS2001,2A,2022-04-25,2022-04-25,MON,,,,,,,FMLG-20,9:30,12:20,Basic Biomedical Laboratory Techniques
BBMS2003,2A,2022-01-17,2022-01-24,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics
BBMS2003,2A,2022-01-20,2022-01-27,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics
BBMS2003,2A,2022-02-10,2022-03-03,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics
BBMS2003,2A,2022-02-14,2022-02-14,MON,,,,,,,FMALT2,13:30,15:20,Human Genetics
BBMS2003,2A,2022-02-21,2022-02-21,MON,,,,,,,HRI-S3,13:30,15:20,Human Genetics
BBMS2003,2A,2022-02-28,2022-02-28,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics
BBMS2003,2A,2022-03-14,2022-03-14,MON,,,,,,,FMALT2,13:30,15:20,Human Genetics
BBMS2003,2A,2022-03-17,2022-04-28,,,,THU,,,,CPD-2.16,13:30,14:20,Human Genetics
BBMS2003,2A,2022-03-21,2022-03-21,MON,,,,,,,ONLINE,13:30,15:20,Human Genetics
BBMS2003,2A,2022-03-28,2022-03-28,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics
BBMS2003,2A,2022-04-04,2022-04-04,MON,,,,,,,HRI-S3,13:30,15:20,Human Genetics
BBMS2003,2A,2022-04-11,2022-04-11,MON,,,,,,,FMMLT1,13:30,15:20,Human Genetics
BBMS2003,2A,2022-04-25,2022-04-25,MON,,,,,,,FMLG-19,13:30,15:20,Human Genetics
