,Location,Vehicle_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(kmpl),Engine(CC),Power(bhp),Price
0,Mumbai,10,72000,Clean_Fuel,Manual,First,5.0,MARUTI,26.6,998.0,58.16,1.75
1,Pune,5,41000,Diesel,Manual,First,5.0,HYUNDAI,19.67,1582.0,126.2,12.5
2,Chennai,9,46000,Petrol,Manual,First,5.0,HONDA,18.2,1199.0,88.7,4.5
3,Chennai,8,87000,Diesel,Manual,First,7.0,MARUTI,20.77,1248.0,88.76,6.0
4,Coimbatore,7,40670,Diesel,Automatic,Second,5.0,AUDI,15.2,1968.0,140.8,17.74
5,Hyderabad,8,75000,Clean_Fuel,Manual,First,5.0,HYUNDAI,21.1,814.0,55.2,2.35
6,Jaipur,7,86999,Diesel,Manual,First,5.0,NISSAN,23.08,1461.0,63.1,3.5
7,Mumbai,4,36000,Diesel,Automatic,First,8.0,TOYOTA,11.36,2755.0,171.5,17.5
8,Pune,7,64430,Diesel,Manual,First,5.0,VOLKSWAGEN,20.54,1598.0,103.6,5.2
9,Chennai,8,65932,Diesel,Manual,Second,5.0,TATA,22.3,1248.0,74.0,1.95
10,Kochi,2,25692,Petrol,Manual,First,5.0,MARUTI,21.56,1462.0,103.25,9.95
11,Kolkata,8,60000,Petrol,Automatic,First,5.0,HONDA,16.8,1497.0,116.3,4.49
12,Jaipur,5,64424,Diesel,Manual,First,5.0,MARUTI,25.2,1248.0,74.0,5.6
13,Delhi,6,72000,Diesel,Automatic,First,5.0,LAND,12.7,2179.0,187.7,27.0
14,Pune,8,85000,Diesel,Automatic,Second,5.0,LAND,0.0,2179.0,115.0,17.5
15,Delhi,6,110000,Diesel,Manual,First,7.0,MITSUBISHI,13.5,2477.0,175.56,15.0
16,Kochi,4,58950,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,5.4
17,Jaipur,3,25000,Diesel,Manual,First,5.0,MARUTI,28.4,1248.0,74.0,5.99
18,Kochi,6,77469,Diesel,Manual,First,5.0,RENAULT,20.45,1461.0,83.8,6.34
19,Bangalore,6,78500,Diesel,Automatic,First,5.0,MERCEDES-BENZ,14.84,2143.0,167.62,28.0
20,Kochi,6,32982,Diesel,Automatic,First,5.0,BMW,22.69,1995.0,190.0,18.55
21,Bangalore,5,55392,Diesel,Manual,Second,5.0,MARUTI,23.65,1248.0,88.5,8.25
22,Mumbai,5,55985,Petrol,Automatic,First,5.0,AUDI,13.53,1984.0,177.01,23.5
23,Kolkata,10,45807,Petrol,Manual,First,5.0,HYUNDAI,18.5,1197.0,80.0,1.87
24,Kolkata,10,33000,Petrol,Automatic,First,5.0,VOLKSWAGEN,14.4,1598.0,103.6,2.85
25,Mumbai,8,51920,Petrol,Manual,First,5.0,HONDA,16.8,1497.0,116.3,4.25
26,Hyderabad,8,54000,Diesel,Manual,First,5.0,NISSAN,23.08,1461.0,63.1,4.25
27,Hyderabad,7,54000,Petrol,Manual,Second,5.0,MARUTI,20.92,998.0,67.1,2.75
28,Kochi,2,37430,Petrol,Manual,First,5.0,HONDA,17.5,1199.0,88.7,9.9
30,Bangalore,7,62000,Diesel,Manual,First,5.0,RENAULT,19.01,1461.0,108.45,7.75
31,Delhi,8,87615,Petrol,Manual,First,5.0,TOYOTA,14.53,1798.0,138.1,6.75
32,Bangalore,7,72000,Diesel,Automatic,Second,7.0,MAHINDRA,11.18,2696.0,184.0,12.5
33,Kolkata,10,35000,Diesel,Automatic,First,5.0,AUDI,12.4,2698.0,179.5,11.5
34,Coimbatore,6,55431,Petrol,Manual,Second,5.0,VOLKSWAGEN,16.09,1598.0,103.5,6.98
35,Jaipur,11,83816,Petrol,Manual,Second,5.0,MARUTI,14.0,1061.0,64.0,1.85
36,Kochi,2,50075,Diesel,Manual,First,5.0,MARUTI,24.3,1248.0,88.5,8.63
