,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
0,Declined,LENDER,0,336,Employed,42,946.83,0.0,300.0,300.0,4,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,72.0,OTHER,0,210.71,0.0,0.9986677530706456,DEALER PURCHASE,0.31685,N,N
1,Declined,GATEWAY,693,316,Employed,48,6250.0,1484.0,300.0,1784.0,6,DODGE,31953.0,N,19575.0,23249.0,0.0,72.0,RENT,36,322.91,5.0,1.1876,INDIRECT,0.28544,N,N
2,Declined,GATEWAY,559,341,Others,0,7552.0,1969.0,300.0,2269.0,4,TOYOTA,10730.0,N,17400.0,16913.0,500.0,72.0,RENT,24,234.91,11.0,0.972,INDIRECT,0.30045,N,Y
6,Approved,GATEWAY,676,347,Employed,228,4916.75,869.0,500.0,1369.0,3,NISSAN,43720.0,N,12325.0,9534.0,4000.0,75.0,RENT,156,200.64,3.0,0.7735,INDIRECT,0.27844,N,Y
7,Approved,GATEWAY,819,315,Employed,36,5083.33,1435.0,0.0,1435.0,1,NISSAN,6.0,Y,43505.0,32558.0,877.0,84.0,BUYING,24,438.84,5.0,0.7483,CAR SALE,0.2823,Y,N
9,Declined,GATEWAY,486,188,Employed,2,3290.0,4751.29,0.0,4751.29,9,HYUNDAI,27563.0,N,10550.0,11722.0,800.0,72.0,LIVEWITHPARENTS,5,162.81,10.0,1.111,INDIRECT,1.44416,N,Y
12,Declined,GATEWAY,636,308,Employed,24,4500.0,440.0,350.0,790.0,4,DODGE,26000.0,N,17575.0,17449.0,500.0,72.0,RENT,24,304.82,2.0,0.9928,INDIRECT,0.17556,N,N
13,Approved,LENDER,696,447,Employed,32,2916.67,1101.0,0.0,1101.0,7,NISSAN,56702.0,N,13350.0,16315.65,0.0,72.0,BUYING,29,263.29,3.0,1.2221,REFINANCE-PROMO,0.37749,N,N
14,Declined,GATEWAY,636,182,Retired,300,1613.0,1677.0,0.0,1677.0,8,CHEVROLET,62749.0,N,9725.0,9733.0,1000.0,72.0,BUYING,190,168.75,2.0,1.0008,INDIRECT,1.03968,N,N
15,Approved,GATEWAY,813,468,Employed,7,7000.0,930.0,0.0,930.0,1,BUICK,130.0,Y,29045.0,26554.0,0.0,60.0,OWN,12,335.77,1.0,0.9142,INDIRECT,0.13286,N,N
20,Declined,LENDER,0,348,Employed,4,1920.0,25.0,300.0,325.0,0,UNDECIDED,0.0,Y,20902.6956131264,14000.0,0.0,66.0,LIVEWITHPARENTS,36,307.99,1.0,0.9986677530706456,DEALER PURCHASE,0.16927,N,N
21,Declined,GATEWAY,504,350,Employed,12,2560.0,44.0,300.0,344.0,6,HYUNDAI,37144.0,N,13100.0,14240.0,2000.0,72.0,LIVEWITHPARENTS,1,197.78,1.0,1.087,CAR SALE,0.13438,N,N
22,Approved,GATEWAY,726,452,Employed,13,2708.33,0.0,300.0,300.0,1,HYUNDAI,50.0,Y,20105.0,15971.0,2000.0,75.0,RENT,24,246.88,2.0,0.7943,CAR SALE,0.11077,N,N
23,Declined,GATEWAY,0,395,Employed,24,10000.0,85.0,500.0,1085.0,5,VOLKSWAGEN,12405.0,N,17350.0,17540.0,1000.0,72.0,RENT,24,243.62,3.0,1.0109,INDIRECT,0.1085,N,Y
24,Approved,GATEWAY,780,384,Employed,34,14166.67,2776.0,0.0,2776.0,1,NISSAN,6.0,Y,20360.0,18245.0,4800.0,78.0,BUYING,14,278.51,10.0,0.8961,INDIRECT,0.19595,N,N
25,Approved,GATEWAY,679,322,Employed,25,3228.0,104.0,415.0,519.0,2,KIA,12.0,Y,24095.0,26799.0,500.0,84.0,RENT,42,438.79,5.0,1.1122,INDIRECT,0.16078,N,N
27,Declined,GATEWAY,815,429,Employed,3,10500.0,2429.0,0.0,2429.0,11,TOYOTA,97129.0,N,16050.0,17717.0,2500.0,60.0,BUYING,204,295.29,7.0,1.1038,INDIRECT,0.23133,N,Y
28,Approved,GATEWAY,777,313,Employed,192,8300.0,3622.0,0.0,3622.0,3,FORD,6.0,Y,45035.0,33103.0,0.0,75.0,BUYING,120,496.5,8.0,0.735,INDIRECT,0.43639,N,N
32,Approved,GATEWAY,835,305,Employed,120,15416.67,3079.0,0.0,3079.0,2,CHEVROLET,9.0,Y,25120.0,21176.0,0.0,84.0,BUYING,132,319.52,6.0,0.8429,INDIRECT,0.19972,Y,Y
35,Declined,GATEWAY,523,196,Others,26,2400.0,819.0,0.0,819.0,2,MAZDA,15.0,Y,19730.0,17830.0,2000.0,72.0,OTHER,24,247.64,1.0,0.9036,INDIRECT,0.34125,N,N
38,Declined,LENDER,593,355,Employed,39,2080.0,112.9,400.0,512.9,0,UNDECIDED,0.0,N,20902.6956131264,10700.0,0.0,66.0,OTHER,11,247.23,1.0,0.9986677530706456,DEALER PURCHASE,0.24659,Y,N
39,Declined,GATEWAY,672,395,Employed,1,2000.0,25.0,300.0,325.0,5,CHEVROLET,35214.0,N,11775.0,8359.0,3000.0,72.0,LIVEWITHPARENTS,8,126.79,1.0,0.7098,INDIRECT,0.1625,N,N
40,Declined,CONSUMER,727,392,Employed,7,4600.0,249.0,1130.0,1379.0,13,CHEVROLET,99000.0,N,23000.0,20000.0,3000.0,82.0,RENT,7,243.91,2.0,0.8695,PRIVATE PARTY,0.29978,N,N
50,Declined,GATEWAY,583,173,Retired,180,4900.0,3402.0,0.0,3402.0,10,OTHERS,116770.0,N,19250.0,14772.0,5000.0,72.0,OWN,180,245.36,0.0,0.7673,INDIRECT,0.69429,N,N
60,Declined,LENDER,518,154,Employed,240,1977.0,356.0,300.0,656.0,12,JEEP,84000.0,N,13150.0,3000.0,0.0,24.0,RENT,24,248.5,0.0,0.2281,TITLE LOAN,0.32059,Y,N
69,Declined,GATEWAY,562,382,Employed,6,1800.0,248.0,300.0,548.0,13,ACURA,94739.0,N,10275.0,7837.0,4000.0,24.0,LIVEWITHPARENTS,36,326.55,1.0,0.7627,INDIRECT,0.30444,N,N
71,Declined,CONSUMER,666,420,Employed,2,3900.0,912.15,1100.0,3112.15,3,CHEVROLET,11.0,N,19000.0,17800.0,1200.0,72.0,RENT,37,247.23,2.0,0.9368,DEALER PURCHASE,0.79799,Y,Y
72,Declined,GATEWAY,0,312,Employed,36,1503.0,0.0,0.0,0.0,10,OTHERS,127434.0,N,11450.0,6350.0,3500.0,36.0,OWN,564,196.61,1.0,0.5545,INDIRECT,0.0,N,N
77,Approved,GATEWAY,751,323,Employed,145,3333.33,588.0,0.0,588.0,5,FORD,5517.0,N,28675.0,27796.0,1000.0,84.0,OWN,507,421.55,8.0,0.9693,INDIRECT,0.1764,N,N
78,Approved,GATEWAY,791,308,Employed,132,9062.5,3375.0,0.0,3675.0,1,HYUNDAI,12.0,Y,26325.0,30395.0,3534.0,84.0,BUYING,39,442.29,11.0,1.1546,INDIRECT,0.40552,Y,Y
79,Declined,GATEWAY,676,360,Others,9,2400.0,599.77,300.0,899.77,3,NISSAN,9648.0,N,13000.0,14095.0,0.0,72.0,LIVEWITHPARENTS,11,195.77,1.0,1.0842,INDIRECT,0.3749,N,N
86,Declined,GATEWAY,658,314,Others,24,10800.0,1334.0,1650.0,2984.0,2,FORD,0.0,Y,77640.0,76076.0,2500.0,72.0,RENT,12,1300.59,0.0,0.9798,INDIRECT,0.2763,N,N
87,Declined,GATEWAY,558,194,Employed,21,5912.0,732.31,625.0,1982.31,2,HYUNDAI,10.0,Y,19240.0,20745.0,20.0,72.0,RENT,8,288.13,2.0,1.0782,CAR SALE,0.3353,N,Y
88,Declined,GATEWAY,0,324,Employed,25,2465.0,0.0,150.0,150.0,2,TOYOTA,17.0,Y,20380.0,18302.0,4000.0,72.0,RENT,204,254.2,0.0,0.898,INDIRECT,0.06085,N,N
89,Approved,GATEWAY,675,372,Employed,264,3083.33,125.0,400.0,525.0,2,HYUNDAI,5636.0,Y,17675.0,20160.0,0.0,84.0,RENT,24,333.62,10.0,1.1405,INDIRECT,0.17027,N,N
90,Declined,GATEWAY,716,313,Retired,120,3375.0,400.0,0.0,400.0,10,NISSAN,96781.0,N,7625.0,7296.0,1500.0,60.0,LIVEWITHPARENTS,24,121.6,6.0,0.9568,INDIRECT,0.11852,N,Y
92,Approved,GATEWAY,693,408,Employed,1,3434.67,870.0,525.0,1395.0,3,TOYOTA,4.0,Y,20538.0,16895.0,2500.0,72.0,RENT,12,322.53,4.0,0.8226,INDIRECT,0.40615,N,Y
94,Approved,CONSUMER,806,304,Employed,144,8200.0,2833.0,0.0,2833.0,0,UNDECIDED,0.0,N,20902.6956131264,6000.0,1500.0,66.0,BUYING,6,200.86,4.0,0.9986677530706456,DEALER PURCHASE,0.34549,N,Y
95,Approved,LENDER,833,398,Retired,0,8539.26,844.0,0.0,844.0,5,JEEP,28000.0,N,34425.0,26355.62,0.0,60.0,OWN,456,483.09,12.0,0.7655,DEALER PURCHASE,0.09884,N,Y
